Grapheme	IPA
$	NULL
1	+
1$	NULL
2	+
2$	NULL
3	+
3$	NULL
4	+
4$	NULL
5	+
5$	NULL
6	+
6$	NULL
7	+
7$	NULL
8	+
8$	NULL
?$	ʔ ⁰
^	NULL
^a	a
^d	d
^f	f
^g	g
^h	h
^j	j
^k	k
^kh	kʰ
^khw	kʰʷ
^kw	kʷ
^l	l
^m	m
^m̥	m̥
^m̥ 	m̥
^n	n
^n̥	n̥
^p	p
^ph	pʰ
^pʰ	pʰ
^q	q
^qh	qʰ
^qʰ	qʰ
^s	s
^sh	sʰ
^sɦ	sʰ
^sʰ	sʰ
^t	t
^th	tʰ
^ts	ts
^tsʰ	tsʰ
^tɕ	tɕ
^tɬ	tɬ
^u	u
^v	v
^w	w
^x	x
^z	z
^ŋ	ŋ
^ȵ	ȵ
^ȵ̥	ȵ̥
^ȶ	ȶ
^ɔ	ɔ
^ɕ	ɕ
^ɕɦ	ɕʰ
^ɕʰ	ɕʰ
^ɣ	ɣ
^ɬ	ɬ
^ɬʰ	ɬʰ
^ʑ	ʑ
^ʔ	ʔ
a	a
ai	ai
au	au
aɯ	aɯ
b	b
c	c
d	d
dj	dʑ
dʑ	dʑ
e	e
ei	ei
eu	eu
eɯ	eɯ
f	f
g	g
h	h
i	i
io	io
j	j
k	k
kh	kʰ
l	l
m	m
mj	mʲ
m̥	m̥
m̥ 	m̥
n	n
na⁵⁵mjau³⁵ɬa⁵³	mʲ au ³⁵ + ɬ a ⁵³
o	o
oi	oi
ou	ou
p	p
ph	pʰ
pʰ	pʰ
q	q
qh	qʰ
s	s
sɦ	sʰ
sʰ	sʰ
t	t
th	th
ts	ts
tsʰ	tsʰ
tɕ	tɕ
tɕh	tɕʰ
tɦ	tʱ
tɬ	tɬ
u	u
ua	ua
ui	ui
v	v
y	y
z	z
zɯ	zʷ
²	²/⁰ +
²$	²/⁰
²²	²² +
²²$	²²
²²/	²²
²³$	²³
²³/	²³
²¹	²¹
²¹$	²¹
²¹/	²¹
²¹²$	²¹²
²¹²/	²¹²
²⁴	²⁴
²⁴$	²⁴
²⁴/	²⁴
²⁴¹$	²⁴¹
²⁴¹/	²⁴¹
³²	³² +
³²$	³²
³²/	³²
³³	³³ +
³³$	³³
³³/	³³
³¹	³¹ +
³¹$	³¹
³¹/	³¹
³⁴	³⁴ +
³⁴$	³⁴
³⁴/	³⁴
³⁵	³⁵ +
³⁵$	³⁵
³⁵/	³⁵
³⁵⁴$	³⁵⁴
³⁵⁴/	³⁵⁴
¹	¹/⁰ +
¹$	¹/⁰
¹/	¹/⁰
¹²$	¹²
¹²/	¹²
¹³	¹³ +
¹³$	¹³
¹³/	¹³
¹¹	¹¹ +
¹¹$	¹¹
¹¹/	¹¹
æ	æ
æ̃	æ̃
õ	õ
õi	õi
ŋ	ŋ
ŋ̃	ŋ̃
ȵ	ȵ
ɐ	ɐ
ɐu	ɐu
ɑ	ɑ
ɑi	ɑi
ɑu	ɑu
ɒ	ɒ
ɔ	ɔ
ɕ	ɕ
ɕɦ	ɕʰ
ə	ə
əi	əi
əu	əu
əɯ	əɯ
ɛ	ɛ
ɣ	ɣ
ɤ	ɤ
ɤu	ɤu
ɦ	ɦ
ɪ	ɪ
ɬ	ɬ
ɯ	ɯ
ɿ	ɿ
ʑ	ʑ
ʔ	ʔ
ʔ$	ʔ ⁰
ẽ	ẽ
ẽi	ẽi
⁰²	⁰²/⁰ +
⁴	⁴/⁰ +
⁴$	⁴/⁰
⁴/$	⁴/⁰
⁴²$	⁴²
⁴²/	⁴²
⁴⁴	⁴⁴ +
⁴⁴$	⁴⁴
⁴⁴/	⁴⁴
⁴⁵³	⁴⁵³
⁴⁵³$	⁴⁵³
⁴⁵³/	⁴⁵³
⁵³	⁵³ +
⁵³$	⁵³
⁵³/	⁵³
⁵⁵	⁵⁵ +
⁵⁵$	⁵⁵
⁵⁵/	⁵⁵
