ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	one	1493	ONE
2	two	1498	TWO
3	three	492	THREE
4	four	1500	FOUR
5	five	493	FIVE
6	six	1703	SIX
7	seven	1704	SEVEN
8	eight	1705	EIGHT
9	nine	1483	NINE
10	ten	1515	TEN
11	above	1741	ABOVE
12	afternoon	1807	AFTERNOON
13	you (sg.)	1215	THOU
14	he	1211	HE
15	ant	587	ANT
16	ash	646	ASH
17	autonym	3433	AUTONYM (OF PEOPLE)
18	back	2323	BACK (PART)
19	bamboo	1927	BAMBOO
20	banana	868	BANANA
21	basket	1539	BASKET
22	bat	1793	BAT
23	bean	832	BEAN
24	bear	1820	BEAR
25	bed	1663	BED
26	bee	665	BEE
27	belly	1251	BELLY
28	below	1485	BELOW OR UNDER
29	big	1202	BIG
30	bird	937	BIRD
31	bite	1403	BITE
32	bitter	887	BITTER
33	black	163	BLACK
34	"Black Hmong [autonym]"		
35	blind	1653	BLIND
36	blood	946	BLOOD
37	blunt	379	BLUNT
38	boat	1844	BOAT
39	bone	1394	BONE
40	bowl	1530	BOWL
41	brain	1583	BRAIN
42	breast	1402	BREAST
43	breathe	1407	BREATHE
44	buffalo, water	2516	WATER BUFFALO
45	burn	2102	BURN
46	bury	1719	BURY
47	butterfly	1791	BUTTERFLY
48	buy	1869	BUY
49	cat	1208	CAT
50	cattle; cow	1007	COW
51	cave	1155	CAVE
52	centipede	1974	CENTIPEDE
53	chair	1476	CHAIR
54	charcoal	1188	CHARCOAL
55	cheek	1730	CHEEK
56	chew	321	CHEW
57	chicken	1318	CHICKEN
58	child	2099	CHILD
59	chili pepper	919	CHILI PEPPER
60	chopstick	1987	CHOPSTICKS
61	citrus fruit	1126	CITRUS FRUIT
62	clean	704	CLEAN
63	close, to	1942	NEAR
64	cloud	1489	CLOUD
65	coin	1867	COIN
66	cold (adj.)	1287	COLD
67	copper	1825	COPPER
68	corn	506	MAIZE
69	cough, to	879	COUGH
70	cover, to	761	COVER
71	crossbow	3193	CROSSBOW
72	crow (bird)	913	CROW
73	cry, to	1839	CRY
74	cut, to	1432	CUT
75	dark	706	DARK
76	daughter	1357	DAUGHTER
77	day	1225	DAY (NOT NIGHT)
78	deaf	996	DEAF
79	deer	1936	DEER
80	dew	1977	DEW
81	die	1494	DIE
82	dig	1418	DIG
83	dirty	1230	DIRTY
84	dog	2009	DOG
85	door	1567	DOOR
86	dove	1853	DOVE
87	dream	2374	DREAM
88	drink water
89	dry	1398	DRY
90	duck	1360	DUCK
91	dust	2	DUST
92	ear	1247	EAR
93	eat	1336	EAT
94	eat rice
95	egg	744	EGG
96	elbow	981	ELBOW
97	embers	67	EMBERS
98	evening	1629	EVENING
99	eye	1248	EYE
100	face	1560	FACE
101	fall	1280	FALL
102	family	194	FAMILY
103	far	1406	FAR
104	fat	1282	FAT (FROM ANIMALS)
105	fear	1419	FEAR (BE AFRAID)
106	field	212	FIELD
107	fire	221	FIRE
108	firewood	10	FIREWOOD
109	fish	227	FISH
110	floor	1632	FLOOR
111	flower	239	FLOWER
112	fly (insect)	1504	FLY (INSECT)
113	fog	249	FOG
114	forest	420	FOREST
115	fox	1312	FOX
116	fragrant	376	FRAGRANT
117	frog	503	FROG
118	fruit	1507	FRUIT
119	full	1429	FULL
120	ghost	1175	GHOST
121	gold	1369	GOLD
122	good	1035	GOOD
123	grass	606	GRASS
124	grave	1773	GRAVE
125	green	1425	GREEN
126	grow	479	GROW
127	gums	139	GUMS
128	hair, body	189	HAIR (BODY)
129	hair, head	2648	HAIR (HEAD)
130	happy	1495	HAPPY
131	hat	771	HAT
132	hay	342	HAY
133	head	1256	HEAD
134	hear	1408	HEAR
135	heart	1223	HEART
136	heavy	1210	HEAVY
137	hen	1514	HEN
138	hide	2486	HIDE
139	hit	1433	HIT
140	horse	615	HORSE
141	hot	1286	HOT
142	house	1252	HOUSE
143	human, person	683	PERSON
144	hunt, to	1435	HUNT
145	husband	1200	HUSBAND
146	I	1209	I
147	insect	620	INSECT
148	intestines	1991	INTESTINES
149	iron	621	IRON
150	jaw	798	JAW
151	kill	1417	KILL
152	knee	1371	KNEE
153	knife	1352	KNIFE
154	know	1410	KNOW (SOMETHING)
155	laugh	1355	LAUGH
156	leaf	628	LEAF
157	left	244	LEFT
158	leg	1297	LEG
159	lie down	215	LIE DOWN
160	light	737	LIGHT (IGNITE)
161	lightning	1654	LIGHTNING
162	light (not heavy)	1052	LIGHT (WEIGHT)
163	lip	478	LIP
164	live, to	1422	BE ALIVE
165	liver	1224	LIVER
166	long	1203	LONG
167	look, to	1819	LOOK
168	louse, body	1392	LOUSE
169	louse, head	310	HEAD LOUSE
170	male	1553	MALE
171	market	633	MARKET
172	meat	634	MEAT
173	midday	12	MIDDAY
174	millet	931	MILLET
175	money	1559	MONEY
176	monkey	1350	MONKEY
177	month	1370	MONTH
178	moon	1313	MOON
179	morning	1339	MORNING
180	mortar
181	mosquito	1509	MOSQUITO
182	mountain	639	MOUNTAIN
183	mouth	674	MOUTH
184	mud	640	MUD
185	mushroom	641	MUSHROOM
186	name	1405	NAME
187	narrow	1267	NARROW
188	navel	1838	NAVEL
189	near	1942	NEAR
190	neck	1333	NECK
191	needle	1382	NEEDLE (FOR SEWING)
192	new	1231	NEW
193	night	1233	NIGHT
194	nose	1221	NOSE
195	oil	1484	OIL (ORGANIC SUBSTANCE)
196	old (cu)		
197	old (gia)	1229	OLD
198	open, to	1156	OPEN
199	oven	1143	OVEN
200	pig	1337	PIG
201	plant, to	1486	PLANT (SOMETHING)
202	plate	480	PLATE
203	plow	2154	PLOUGH (INSTRUMENT)
204	poor	1674	POOR
205	potato	593	POTATO
206	pound	354	POUND
207	rain	658	RAIN (PRECIPITATION)
208	rainbow	1733	RAINBOW
209	rat	1490	RAT
210	red	156	RED
211	rice, cooked	2750	GLUTINOUS RICE
211	rice, cooked	1191	COOKED RICE
212	rice, grain	605	GRAIN
213	rice, plant	2026	RICE PLANT
214	rich	712	RICH
215	right	1019	RIGHT
216	right side	1019	RIGHT
217	ripe	178	RIPE
218	road	667	ROAD
219	roof	769	ROOF
220	rooster	1511	ROOSTER
221	root	670	ROOT
222	rope	1218	ROPE
223	rotten	1728	ROTTEN
224	sad	699	SAD
225	salt	1274	SALT
226	salty	1091	SALTY
227	sand	671	SAND
228	second (#2)	1384	SECOND
229	see	1409	SEE
230	sell	1571	SELL
231	sew	1457	SEW
232	sharp	1396	SHARP
233	sheep	1331	SHEEP
234	shirt	1622	SHIRT
235	show	1868	VISIBLE
236	shoot	1172	SHOOT
237	short	1645	SHORT
238	shoulder	1482	SHOULDER
239	shrimp	2349	SHRIMP
240	sick	1847	SICK
241	silver	759	SILVER
242	sit	1416	SIT
243	skin	763	SKIN
244	skirt	1600	SKIRT
245	sky	1732	SKY
246	sleep	1585	SLEEP
247	small	1246	SMALL
248	smoke	2859	SMOKE (EMIT SMOKE)
249	snake	730	SNAKE
250	sniff, smell	375	SNIFF
251	snow	784	SNOW
252	son	1620	SON
253	sour	1906	SOUR
254	spider	843	SPIDER
255	stand up	570	STAND UP
256	star	1430	STAR
257	steal	713	STEAL
258	stone	857	STONE
259	storm	858	STORM
260	strong	785	STRONG
261	stupid	1518	STUPID
262	suck	1421	SUCK
263	sugarcane	146	SUGAR CANE
264	summer (wet season)	1342	SUMMER
265	sun	1343	SUN
266	sweet	717	SWEET
267	table	1775	TABLE
268	tail	1220	TAIL
269	tall	711	TALL
270	termite	883	TERMITE
271	that	78	THAT
272	they	817	THEY
273	thick	1244	THICK
274	thin	2308	THIN
275	this	1214	THIS
276	thunder	1150	THUNDER
277	tick	1527	TICK
278	tongue	1205	TONGUE
279	tooth	1380	TOOTH
280	tree	906	TREE
281	trousers	809	TROUSERS
282	turtle	112	TURTLE
283	unripe	1958	UNRIPE
284	vegetable	924	VEGETABLES
285	"village name (Khuan He)"		
286	wall	933	WALL (OF HOUSE)
287	warm	2272	HOT OR WARM
288	water	948	WATER
289	we (excl.)	1130	WE (EXCLUSIVE)
290	we (incl.)	1131	WE (INCLUSIVE)
291	weak	1601	WEAK
292	wet	1726	WET
293	what	1236	WHAT
294	wheat	1077	WHEAT
295	when	1238	WHEN
296	where	1237	WHERE
297	which	727	WHICH
298	white	1335	WHITE
299	who	1235	WHO
300	wide	1243	WIDE
301	wife	1199	WIFE
302	wind	960	WIND
303	window	1375	WINDOW
304	wing	1257	WING
305	winter (dry season)	1471	WINTER
306	woman	962	WOMAN
307	wood	1803	WOOD
308	work	984	WORK (LABOUR)
309	worm	1219	WORM
310	yam	410	YAM
311	yawn	1028	YAWN
312	year	1226	YEAR
313	yellow	1424	YELLOW
314	young	1207	YOUNG
315	you (plural)	1213	YOU
