ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
283	unripe	1958	UNRIPE	2
284	vegetable	924	VEGETABLES	2
285	"village name (Khuan
He)"			
286	wall	933	WALL (OF HOUSE)	2
287	warm	2272	HOT OR WARM	2
288	water	948	WATER	2
289	we (excl.)	1130	WE (EXCLUSIVE)	2
290	we (incl.)	1131	WE (INCLUSIVE)	2
291	weak	1601	WEAK	2
292	wet	1726	WET	2
293	what	1236	WHAT	2
294	wheat	1077	WHEAT	2
295	when	1238	WHEN	2
296	where	1237	WHERE	2
297	which	727	WHICH	2
298	white	1335	WHITE	2
299	who	1235	WHO	2
300	wide	1243	WIDE	2
301	wife	1199	WIFE	2
302	wind	960	WIND	2
303	window	1375	WINDOW	2
304	wing	1257	WING	2
305	winter (dry season)	1471	WINTER	4
306	woman	962	WOMAN	2
307	wood	1803	WOOD	2
308	work	984	WORK (LABOUR)	2
309	worm	1219	WORM	2
310	yam	410	YAM	2
311	yawn	1028	YAWN	2
312	year	1226	YEAR	2
313	yellow	1424	YELLOW	2
314	young	1207	YOUNG	2
315	you (plural)	1213	YOU	2
