ID	GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	one	1493	ONE	2
2	two	1498	TWO	2
3	three	492	THREE	2
4	four	1500	FOUR	2
5	five	493	FIVE	2
6	six	1703	SIX	2
7	seven	1704	SEVEN	2
8	eight	1705	EIGHT	2
9	nine	1483	NINE	2
10	ten	1515	TEN	2
11	above	1741	ABOVE	2
12	afternoon	1807	AFTERNOON	2
13	you (sg.)	1215	THOU	2
14	he	1211	HE	2
15	ant	587	ANT	2
16	ash	646	ASH	2
17	autonym	3433	AUTONYM (OF PEOPLE)	2
18	back	2323	BACK (PART)	2
19	bamboo	1927	BAMBOO	2
20	banana	868	BANANA	2
21	basket	1539	BASKET	2
22	bat	1793	BAT	2
23	bean	832	BEAN	2
24	bear	1820	BEAR	2
25	bed	1663	BED	2
26	bee	665	BEE	2
27	belly	1251	BELLY	2
28	below	1485	BELOW OR UNDER	2
29	big	1202	BIG	2
30	bird	937	BIRD	2
31	bite	1403	BITE	2
32	bitter	887	BITTER	2
33	black	163	BLACK	2
34	"Black Hmong
[autonym]"			
35	blind	1653	BLIND	2
36	blood	946	BLOOD	2
37	blunt	379	BLUNT	2
38	boat	1844	BOAT	2
39	bone	1394	BONE	2
40	bowl	1530	BOWL	2
41	brain	1583	BRAIN	2
42	breast	1402	BREAST	2
43	breathe	1407	BREATHE	2
44	buffalo, water	2516	WATER BUFFALO	4
45	burn	2102	BURN	2
46	bury	1719	BURY	2
47	butterfly	1791	BUTTERFLY	2
48	buy	1869	BUY	2
49	cat	1208	CAT	2
50	cattle; cow	1007	COW	4
51	cave	1155	CAVE	2
52	centipede	1974	CENTIPEDE	2
53	chair	1476	CHAIR	2
54	charcoal	1188	CHARCOAL	2
55	cheek	1730	CHEEK	2
56	chew	321	CHEW	2
57	chicken	1318	CHICKEN	2
58	child	2099	CHILD	2
59	chili pepper	919	CHILI PEPPER	2
60	chopstick	1987	CHOPSTICKS	2
61	citrus fruit	1126	CITRUS FRUIT	2
62	clean	704	CLEAN	2
63	close, to	1942	NEAR	4
64	cloud	1489	CLOUD	2
65	coin	1867	COIN	2
66	cold (adj.)	1287	COLD	2
67	copper	1825	COPPER	2
68	corn	506	MAIZE	2
69	cough, to	879	COUGH	4
70	cover, to	761	COVER	4
71	crossbow	3193	CROSSBOW	2
72	crow (bird)	913	CROW	4
73	cry, to	1839	CRY	2
74	cut, to	1432	CUT	4
75	dark	706	DARK	2
76	daughter	1357	DAUGHTER	2
77	day	1225	DAY (NOT NIGHT)	2
78	deaf	996	DEAF	2
79	deer	1936	DEER	2
80	dew	1977	DEW	2
81	die	1494	DIE	2
82	dig	1418	DIG	2
83	dirty	1230	DIRTY	2
84	dog	2009	DOG	2
85	door	1567	DOOR	2
86	dove	1853	DOVE	2
87	dream	2374	DREAM	2
88	drink water			
89	dry	1398	DRY	2
90	duck	1360	DUCK	2
91	dust	2	DUST	2
92	ear	1247	EAR	2
93	eat	1336	EAT	2
94	eat rice			
95	egg	744	EGG	2
96	elbow	981	ELBOW	2
97	embers	67	EMBERS	2
98	evening	1629	EVENING	2
99	eye	1248	EYE	2
100	face	1560	FACE	2
101	fall	1280	FALL	2
102	family	194	FAMILY	2
103	far	1406	FAR	2
104	fat	1282	FAT (FROM ANIMALS)	2
105	fear	1419	FEAR (BE AFRAID)	2
106	field	212	FIELD	2
107	fire	221	FIRE	2
108	firewood	10	FIREWOOD	2
109	fish	227	FISH	2
110	floor	1632	FLOOR	2
111	flower	239	FLOWER	2
112	fly (insect)	1504	FLY (INSECT)	2
113	fog	249	FOG	2
114	forest	420	FOREST	2
115	fox	1312	FOX	2
116	fragrant	376	FRAGRANT	2
117	frog	503	FROG	2
118	fruit	1507	FRUIT	2
119	full	1429	FULL	2
120	ghost	1175	GHOST	2
121	gold	1369	GOLD	2
122	good	1035	GOOD	2
123	grass	606	GRASS	2
124	grave	1773	GRAVE	2
125	green	1425	GREEN	2
126	grow	479	GROW	2
127	gums	139	GUMS	2
128	hair, body	189	HAIR (BODY)	4
129	hair, head	2648	HAIR (HEAD)	4
130	happy	1495	HAPPY	2
131	hat	771	HAT	2
132	hay	342	HAY	2
133	head	1256	HEAD	2
134	hear	1408	HEAR	2
135	heart	1223	HEART	2
136	heavy	1210	HEAVY	2
137	hen	1514	HEN	2
138	hide	2486	HIDE	2
139	hit	1433	HIT	2
140	horse	615	HORSE	2
141	hot	1286	HOT	2
142	house	1252	HOUSE	2
143	human, person	683	PERSON	4
144	hunt, to	1435	HUNT	4
145	husband	1200	HUSBAND	2
146	I	1209	I	2
147	insect	620	INSECT	2
148	intestines	1991	INTESTINES	2
149	iron	621	IRON	2
150	jaw	798	JAW	2
151	kill	1417	KILL	2
152	knee	1371	KNEE	2
153	knife	1352	KNIFE	2
154	know	1410	KNOW (SOMETHING)	2
155	laugh	1355	LAUGH	2
156	leaf	628	LEAF	2
157	left	244	LEFT	2
158	leg	1297	LEG	2
159	lie down	215	LIE DOWN	2
160	light	737	LIGHT (IGNITE)	2
161	lightning	1654	LIGHTNING	2
162	light (not heavy)	1052	LIGHT (WEIGHT)	2
163	lip	478	LIP	2
164	live, to	1422	BE ALIVE	2
165	liver	1224	LIVER	2
166	long	1203	LONG	2
167	look, to	1819	LOOK	4
168	louse, body	1392	LOUSE	4
169	louse, head	310	HEAD LOUSE	4
170	male	1553	MALE	2
171	market	633	MARKET	2
172	meat	634	MEAT	2
173	midday	12	MIDDAY	2
174	millet	931	MILLET	2
175	money	1559	MONEY	2
176	monkey	1350	MONKEY	2
177	month	1370	MONTH	2
178	moon	1313	MOON	2
179	morning	1339	MORNING	2
180	mortar			2
181	mosquito	1509	MOSQUITO	2
182	mountain	639	MOUNTAIN	2
183	mouth	674	MOUTH	2
184	mud	640	MUD	2
185	mushroom	641	MUSHROOM	2
186	name	1405	NAME	2
187	narrow	1267	NARROW	2
188	navel	1838	NAVEL	2
189	near	1942	NEAR	2
190	neck	1333	NECK	2
191	needle	1382	NEEDLE (FOR SEWING)	2
192	new	1231	NEW	2
193	night	1233	NIGHT	2
194	nose	1221	NOSE	2
195	oil	1484	OIL (ORGANIC SUBSTANCE)	2
196	old (cu)			4
197	old (gia)	1229	OLD	4
198	open, to	1156	OPEN	4
199	oven	1143	OVEN	2
200	pig	1337	PIG	2
201	plant, to	1486	PLANT (SOMETHING)	4
202	plate	480	PLATE	2
203	plow	2154	PLOUGH (INSTRUMENT)	2
204	poor	1674	POOR	2
205	potato	593	POTATO	2
206	pound	354	POUND	2
207	rain	658	RAIN (PRECIPITATION)	2
208	rainbow	1733	RAINBOW	2
209	rat	1490	RAT	2
210	red	156	RED	2
211	rice, cooked	2750	GLUTINOUS RICE	4
211	rice, cooked	1191	COOKED RICE	4
212	rice, grain	605	GRAIN	4
213	rice, plant	2026	RICE PLANT	4
214	rich	712	RICH	2
215	right	1019	RIGHT	2
216	right side	1019	RIGHT	2
217	ripe	178	RIPE	2
218	road	667	ROAD	2
219	roof	769	ROOF	2
220	rooster	1511	ROOSTER	2
221	root	670	ROOT	2
222	rope	1218	ROPE	2
223	rotten	1728	ROTTEN	2
224	sad	699	SAD	2
225	salt	1274	SALT	2
226	salty	1091	SALTY	2
227	sand	671	SAND	2
228	second (#2)	1384	SECOND	4
229	see	1409	SEE	2
230	sell	1571	SELL	2
231	sew	1457	SEW	2
232	sharp	1396	SHARP	2
233	sheep	1331	SHEEP	2
234	shirt	1622	SHIRT	2
235	show	1868	VISIBLE	2
236	shoot	1172	SHOOT	2
237	short	1645	SHORT	2
238	shoulder	1482	SHOULDER	2
239	shrimp	2349	SHRIMP	2
240	sick	1847	SICK	2
241	silver	759	SILVER	2
242	sit	1416	SIT	2
243	skin	763	SKIN	2
244	skirt	1600	SKIRT	2
245	sky	1732	SKY	2
246	sleep	1585	SLEEP	2
247	small	1246	SMALL	2
248	smoke	2859	SMOKE (EMIT SMOKE)	2
249	snake	730	SNAKE	2
250	sniff, smell	375	SNIFF	4
251	snow	784	SNOW	2
252	son	1620	SON	2
253	sour	1906	SOUR	2
254	spider	843	SPIDER	2
255	stand up	570	STAND UP	2
256	star	1430	STAR	2
257	steal	713	STEAL	2
258	stone	857	STONE	2
259	storm	858	STORM	2
260	strong	785	STRONG	2
261	stupid	1518	STUPID	2
262	suck	1421	SUCK	2
263	sugarcane	146	SUGAR CANE	2
264	summer (wet season)	1342	SUMMER	4
265	sun	1343	SUN	2
266	sweet	717	SWEET	2
267	table	1775	TABLE	2
268	tail	1220	TAIL	2
269	tall	711	TALL	2
270	termite	883	TERMITE	2
271	that	78	THAT	2
272	they	817	THEY	2
273	thick	1244	THICK	2
274	thin	2308	THIN	2
275	this	1214	THIS	2
276	thunder	1150	THUNDER	2
277	tick	1527	TICK	2
278	tongue	1205	TONGUE	2
279	tooth	1380	TOOTH	2
280	tree	906	TREE	2
281	trousers	809	TROUSERS	2
282	turtle	112	TURTLE	2
