Gloss	Na Meo (Tuyen Quang)	Na Meo (Cao Bang)	Zhenmin	Guncen	Yaogao	Datu	Yangpai	Caidiwan	Xiang'ao	Heba	Baixing	Yanghao
eye	tɕei⁵⁵ma³³	tsẽi⁴⁵³mɑ²²	mɑ²¹/4	tsəi3ma6	n̥ju¹³mo²²	mu²¹/4	mi²²/4	qa³³mi⁵³	ma¹²/4	pei¹³me²²	mei⁴²/4	n̥ju³³mɛ¹³
ear	qʰaŋ³³ȵai⁵⁵	ŋɑi³⁵	nze⁵³/2	qʰaŋ3ȵai2	ȵei³¹	nze²²/2	nzɑ⁵⁵/2	  qa³³njei²²   	ȵe⁴²/2	pei¹³me⁵⁵	mei⁵⁵/2	qa³³zɛ⁵⁵
nose	toŋ⁵⁵ŋui³³	ȶɔŋ⁴⁴ŋoi³³	nza²²/6	qʰaŋ3ȵuə6	tjam³¹ȵo²²	nzau¹²/6	nzu²³/6	tjuŋ²⁴njy⁵³	ȵai⁵³/6	pɔ¹¹mja²²	mjɛ⁴²/2	po⁵⁵zɛ¹³
tooth	maŋ³³	mɑŋ̃ ⁴⁵³	  mɑŋ³⁵/3   	tsəi3ma6	kwe⁴⁴	m̥ ei³³/3	mei⁴⁴/3	mi³³	me²²/3	me¹³	me¹³/3	m̥ i³⁵
leg	lɔ⁵³	lɔ³³	pa³³/1	pɛ1	pe¹³; njo²⁴¹	pei²⁴/1	pe³³/1	qa³³pɛ²⁴	pai³³/1	"qa³³pæ⁴⁴;
tju³³ŋaŋ²¹"	pɛ⁴⁴/1	qa³³pa³³
heart	tɕei³³ɬɔ³³	ŋoi³³	ɬju³⁵/3	tiu8	pam⁴⁴	ɬjɒ³³/3	ɬjɤu⁴⁴/3	ɕin²⁴teu²²	ɬjau²²/3	pjo¹³	pjo¹³/3	ɬju³⁵
blood	sʰiŋ³³	ɕin³⁵	ɕeŋ³⁵/3	ɕiŋ3	sam⁵³	sʰɑŋ³³/3	ɕe⁴⁴/3	ɕan³³	ɕan²²/3	ɕʰe¹³	ɕʰɛ¹³/3	ɕʰaŋ³⁵
bone	sʰoŋ³³	tsəi³¹, soŋ³⁵	soŋ³⁵/3	soŋ3	sam⁵³	soŋ³³/3	soŋ⁴⁴/3	suŋ³³	soŋ²²/3	sʰuŋ¹³	sʰoŋ¹³/3	po³⁵sʰoŋ³⁵
"hair
(body)"	kʰɬu⁵³	ɬju³³	ɬju³³/1		tɬjɔ¹³	ɬjɑ²⁴/1	ɬjeŋ³³/1	ɬjo²⁴	ɬju³³/1	pjɔ⁴⁴	pjɔ⁴⁴/1	qa³³ɬju³³
three	pai⁵³	pɑi³³	pe³³/1	pan1	pai¹³	pe²⁴/1	pɑ³³/1	pɛ²⁴	pei³³/1	poi⁴⁴	pue⁴⁴/1	pi³³
four	  tɬɔ⁵³            	ɬɔ³³	ɬɒ³³/1	ɬau1	tɬɔ¹³	ɬɑ²⁴/1	ɬo³³/1	so²⁴	ɬau³³/1	ɬɔ⁴⁴	ɬɔ⁴⁴/1	ɬo³³
five	tɕei⁵³	tsei³³	tsi³³/1	tsəi1, tɕiu6	tɕi¹³	tsɑ²⁴/1	tsɑ³³/1	tsa²⁴	tsi³³/1	pja⁴⁴	pja⁴⁴/1	tsa³³
seven	"tsʰauŋ³³,
sʰɔŋ³³"	ɕɔŋ¹¹	ɕɦoŋ²²/6	ɕioŋ6	tsam²²	sɦoŋ¹²/6	ɕɦoŋ²³/6	ɕuŋ⁵³	ɕoŋ⁵³/6	ɕuŋ²²	ɕoŋ⁴²/6	ɕoŋ¹³
ten	tɕu³³	tɕu³¹ʔ	tɕu²¹²/8	tɕiu8	tɕu²⁴	tɕu³⁵/8	tɕu⁵³/8	tɕeu¹³	tɕu¹²/8	tɕu⁵³	tɕo⁵³/8	tɕu³¹
sun	thau³³na³³	lɑ³³nɑ³³	na³³/1	la1na1	n̥o¹³	n̥oŋ²⁴/1	nɛ³³/1	qʰaŋ³³nei²⁴	neŋ³³/1	pɔ¹¹nei⁴⁴	nei⁴⁴/1	n̥ɛ³³
moon	thau³³ləi³⁵	lɑ²²lei²⁴	li⁴⁴/5	ləi5	ɬei⁴⁴	ɬɑ⁴⁴/5	lɑ²¹/5	la⁴⁴la⁴⁴	li³⁵/5	pɔ¹¹la³³	la³³/5	ɬʰa⁴⁴
star	ta⁵⁵qa³³	tɑ³³qɑ³³	qɑ³³/1	ta1qa1	to³¹qo¹³	qeŋ²⁴/1	qɛ³³/1	qei²⁴qei²⁴	  qa³³/1     	tei⁴⁴qei⁴⁴	qei⁴⁴/5	tɛ³³qɛ³³
fog	taɯ³³ʔu³⁵		ho³³/1			hau²⁴/1	xau³³/1		hau³³/1		ha⁴⁴/1	
thunder	pəu³⁵hau³³	u³³tɑi²⁴	ho³³/1	hau1	pu⁴⁴fu¹³	pʰo³⁴/1	fu³³/1	hou²⁴	hɑu³³/1	heɯ⁴⁴	hɤu⁴⁴/1	ho³³
evening	maŋ³⁵	mɑŋ³⁵	mɑŋ⁴⁴/5		tɕeu³⁵	m̥ ɑi⁴⁴/5	  mɑŋ²¹/5    	ɕi⁴⁴maŋ⁴⁴   	maŋ³⁵/5	ʑi³³maŋ³³	maŋ³³/5	ɕʰi³³m̥ aŋ⁴⁴
stone	gəi⁵³	ge³³	ɣe³³/5	ɣi1	ɣei¹³	ɣe²⁴/1	ɣi³³/1	ʑei²⁴	ɣei³³/1	pɔ¹³ɣi⁴⁴	ɣi²⁴/1	ɣi³³
fire	tɔ⁵³	tɔ³³	tɦɒ²¹/4	tau4	ta²⁴¹	tou¹²/4	tɦɤu²²/4	to²¹²	tau¹²/4	to²¹	to²⁴/4	tu¹¹
ashes	paʔ⁵³	ɕu³⁵tɔ³³	ɕu³⁵/3		ɕɔ⁵³	ɕɑ³³/3	ɕeŋ⁴⁴/3	ɕo³³	ɕəu²²/3	qa³³ɕʰɔ¹³	ɕʰɔ¹³/3	qa³⁵ɕʰu³⁵
root (tree)	tcoŋ⁵⁵		tɕoŋ⁵³/2	tɕioŋ2	tɕam³¹	tɕoŋ²²/2	tɕoŋ⁵⁵/2	tɕuŋ²²teu⁴⁴	tɕoŋ⁴²/2	qa³³tɕuŋ⁵⁵	tɕoŋ⁵⁵/2	qa³³tɕoŋ⁵⁵
leaf	nəu⁵⁵	nau⁵³tau³⁵	nu⁵³/2		neu³¹	lai²²/2	nɑu⁵⁵/2	neu²²	no⁴²/2	qa³³neu⁵⁵teu³³	nɤu⁵⁵/2	qa³³nə⁵⁵
fruit	tɕəi⁵⁵	ȶe³⁵	tsi³⁵/3		tɕi⁵³	tsei³³/3	tsɛ⁴⁴/3	tsen³⁵	tsi²²/3	pei¹³	pei¹³/3	tsen³⁵
vegetables	ɣɔ³¹	go³³	  ɣɒ³³/1     		ɣɔ¹³	ɣɑ²⁴/1	ɣo³³/1	vo²⁴	ɣau³³/1	ɣɔ⁴⁴	ɣɔ⁴⁴/1	ɣo³³
bean	  taɯ³³          	tɔʔ³¹	to²¹²/8	tou8	neu³⁵	tɑu³⁵/8	tu⁵³/8	teu¹³	  tɑu¹²/8    	pua¹³teu⁵³	tɤu⁵³/8	tə³¹
oil	zu³³	ju³¹ʔ	ȶu⁵³/2		ʑu¹³	ȶai²²/2	ȶəu⁵⁵/2	ʑeu²²	tɕo⁴²/2	ɣɔ⁴⁴	ɕuɤ⁵⁵/2	ʑu⁵⁵
field	  tɕaŋ³³ljaŋ⁵⁵     	ljɑŋ⁵⁵             	ljɑŋ⁵³/2		  ljan³¹          	li²²/2	lei⁵⁵/2	lje²²	lje⁴²/2	lje⁵⁵	lje⁵⁵/2	lji⁵⁵
