ID	GLOSS
1	one
2	two
3	three
4	four
5	five
6	six
7	seven
8	eight
9	nine
10	ten
11	above
12	afternoon
13	you (sg.)
14	he
15	ant
16	ash
17	autonym
18	back
19	bamboo
20	banana
21	basket
22	bat
23	bean
24	bear
25	bed
26	bee
27	belly
28	below
29	big
30	bird
31	bite
32	bitter
33	black
34	"Black Hmong
[autonym]"
35	blind
36	blood
37	blunt
38	boat
39	bone
40	bowl
41	brain
42	breast
43	breathe
44	buffalo, water
45	burn
46	bury
47	butterfly
48	buy
49	cat
50	cattle; cow
51	cave
52	centipede
53	chair
54	charcoal
55	cheek
56	chew
57	chicken
58	child
59	chili pepper
60	chopstick
61	citrus fruit
62	clean
63	close, to
64	cloud
65	coin
66	cold (adj.)
67	copper
68	corn
69	cough, to
70	cover, to
71	crossbow
72	crow (bird)
73	cry, to
74	cut, to
75	dark
76	daughter
77	day
78	deaf
79	deer
80	dew
81	die
82	dig
83	dirty
84	dog
85	door
86	dove
87	dream
88	drink water
89	dry
90	duck
91	dust
92	ear
93	eat
94	eat rice
95	egg
96	elbow
97	embers
98	evening
99	eye
100	face
101	fall
102	family
103	far
104	fat
105	fear
106	field
107	fire
108	firewood
109	fish
110	floor
111	flower
112	fly (insect)
113	fog
114	forest
115	fox
116	fragrant
117	frog
118	fruit
119	full
120	ghost
121	gold
122	good
123	grass
124	grave
125	green
126	grow
127	gums
128	hair, body
129	hair, head
130	happy
131	hat
132	hay
133	head
134	hear
135	heart
136	heavy
137	hen
138	hide
139	hit
140	horse
141	hot
142	house
143	human, person
144	hunt, to
145	husband
146	I
147	insect
148	intestines
149	iron
150	jaw
151	kill
152	knee
153	knife
154	know
155	laugh
156	leaf
157	left
158	leg
159	lie down
160	light
161	lightning
162	light (not heavy)
163	lip
164	live, to
165	liver
166	long
167	look, to
168	louse, body
169	louse, head
170	male
171	market
172	meat
173	midday
174	millet
175	money
176	monkey
177	month
178	moon
179	morning
180	mortar
181	mosquito
182	mountain
183	mouth
184	mud
185	mushroom
186	name
187	narrow
188	navel
189	near
190	neck
191	needle
192	new
193	night
194	nose
195	oil
196	old (cu)
197	old (gia)
198	open, to
199	oven
200	pig
201	plant, to
202	plate
203	plow
204	poor
205	potato
206	pound
207	rain
208	rainbow
209	rat
210	red
211	rice, cooked
212	rice, grain
213	rice, plant
214	rich
215	right
216	right side
217	ripe
218	road
219	roof
220	rooster
221	root
222	rope
223	rotten
224	sad
225	salt
226	salty
227	sand
228	second (#2)
229	see
230	sell
231	sew
232	sharp
233	sheep
234	shirt
235	show
236	shoot
237	short
238	shoulder
239	shrimp
240	sick
241	silver
242	sit
243	skin
244	skirt
245	sky
246	sleep
247	small
248	smoke
249	snake
250	sniff, smell
251	snow
252	son
253	sour
254	spider
255	stand up
256	star
257	steal
258	stone
259	storm
260	strong
261	stupid
262	suck
263	sugarcane
264	summer (wet season)
265	sun
266	sweet
267	table
268	tail
269	tall
270	termite
271	that
272	they
273	thick
274	thin
275	this
276	thunder
277	tick
278	tongue
279	tooth
280	tree
281	trousers
282	turtle
283	unripe
284	vegetable
285	"village name (Khuan
He)"
286	wall
287	warm
288	water
289	we (excl.)
290	we (incl.)
291	weak
292	wet
293	what
294	wheat
295	when
296	where
297	which
298	white
299	who
300	wide
301	wife
302	wind
303	window
304	wing
305	winter (dry season)
306	woman
307	wood
308	work
309	worm
310	yam
311	yawn
312	year
313	yellow
314	young
315	you (plural)
