"Gloss"	"Na Meo (Tuyen Quang)"	"Na Meo (Cao Bang)"	"Zhenmin"	"Guncen"	"Yaogao"	"Datu"	"Yangpai"	"Caidiwan"	"Xiang’ao"	"Heba"	"Baixing"	"Yanghao"
"crow (bird)"	"ta⁵³ɬaŋ³³"											
"cry, to"	"qi⁵⁵"											
"cut, to"	"qai³⁵"											
"dark"	"ɬa³³khai⁵⁵"											
"daughter"	"ta⁵³phai³⁵"		"pa²⁴/7"	"ta1ʑiu5"		"pʰɑ²⁴/1"			"pʰe²⁴/7"		"pʰe²²/7"	
"day"	"na⁵³"											
"deaf"	"ɬoŋ⁵⁵"		"ɬjoŋ⁵³/2"	"ɬoŋ2"	"tɬam³¹"	"ɬjoŋ²²/2"	"ɬjoŋ⁵⁵/2"	"leŋ²⁴"	"ɬjoŋ⁴²/2"	"ɬuŋ⁵⁵"	"ɬoŋ⁵⁵/2"	"ɬoŋ⁵⁵"
"deer"	"ta³³sau⁵³"											
"dew"	"taɯ³³ʔu³⁵"											
"die"	"ta³³"											
"dig"	"qɔŋ³⁵"											
"dirty"	"u³³tɕhui⁵³"											
"dog"	"ɬai³³"											
"door"	"pu³³tu⁵⁵"											
"dove"	"nəu³³kau⁵⁵"											
"dream"	"ɬin³³pu³⁵"											
"drink water"	"həu³³ʔu⁵³"											
"dry"	"qaŋ³⁵"											
"duck"	"ta³³ʔau³⁵"											
"dust"	"phuŋ³⁵"											
"ear"	"qhaŋ³³ȵai⁵⁵"	"ŋɑi³⁵"	"nze⁵³/2"	"qʰaŋ3ȵai2"	"ȵei³¹"	"nze²²/2"	"nzɑ⁵⁵/2"	"qa³³njei²²"	"ȵe⁴²/2"	"pei¹³me⁵⁵"	"mei⁵⁵/2"	"qa³³zɛ⁵⁵"
"eat"	"nəu⁵⁵"											
"eat rice"	"nəu⁵⁵ȵa¹¹"											
"egg"	"qei³⁵"	"lɑ³³qe³³"	"ke⁴⁴/5"		"kei⁴⁴"	"ke⁴⁴/5"	"ki²¹/5"	"kei⁴⁴"	"kei³⁵/5"	"ki³³"	"ki³³/5"	"ki⁴⁴"
"elbow"	"ɣəu⁵³pai⁵³"											
"embers"	"[ŋɛ¹¹]tɔ⁵³tɕhin³⁵"											
"evening"	"tjoŋ³³maŋ³⁵"	"mɑŋ³⁵"	"mɑŋ⁴⁴/5"		"tɕeu³⁵"	"m̥ ɑi⁴⁴/5"	"mɑŋ²¹/5"	"ɕi⁴⁴maŋ⁴⁴"	"maŋ³⁵/5"	"ʑi³³maŋ³³"	"maŋ³³/5"	"ɕʰi³³m̥ aŋ⁴⁴"
"eye"	"tɕei⁵⁵ma³³"	"tsẽi⁴⁵³mɑ²²"	"mɑ²¹/4"	"tsəi3ma6"	"n̥ju¹³mo²²"	"mu²¹/4"	"mi²²/4"	"qa³³mi⁵³"	"ma¹²/4"	"pei¹³me²²"	"mei⁴²/4"	"n̥ju³³mɛ¹³"
"face"	"tɕei⁵⁵ma¹¹"											
"fall"	"pa⁵⁵"											
"family"	"tɕõ³³tɕai⁵⁵"											
"far"	"qui⁵⁵"											
"fat"	"maŋ⁵³"											
"fear"	"qhai⁵³"											
"field"	"tɕaŋ³³ljaŋ⁵⁵"	"ljɑŋ⁵⁵"	"ljɑŋ⁵³/2"		"ljan³¹"	"li²²/2"	"lei⁵⁵/2"	"lje²²"	"lje⁴²/2"	"lje⁵⁵"	"lje⁵⁵/2"	"lji⁵⁵"
"fire"	"tɔ⁵³"	"tɔ³³"	"tɦɒ²¹/4"	"tau4"	"ta²⁴¹"	"tou¹²/4"	"tɦɤu²²/4"	"to²¹²"	"tau¹²/4"	"to²¹"	"to²⁴/4"	"tu¹¹"
"firewood"	"tɔ⁵³"											
"fish"	"ȵai⁵³"	"ŋɑi³¹"	"nze²¹/4"	"ȵai4"	"ȵei²⁴¹"	"nze²¹/4"	"nzɑ²²/2"	"njei²¹²"	"ȵei¹²/2"	"mei²¹"	"mei²⁴/2"	"zɛ¹¹"
"floor"	"ku³³tɪn⁵³"											
"flower"	"paŋ⁵⁵"											
"fly (insect)"	"kin³³lai³⁵"											
"fog"	"taɯ³³ʔu³⁵"		"ho³³/1"			"hau²⁴/1"	"xau³³/1"		"hau³³/1"		"ha⁴⁴/1"	
"forest"	"giŋ⁵⁵ku³³"											
"fox"	"ta³³ɬaŋ³⁵"											
"fragrant"	"ta⁵³moŋ³³"											
"frog"	"qaŋ⁵⁵"	"qɑn²⁴"	"qeŋ³⁵/3"		"qan⁵³qa⁴⁴"	"qɑŋ³³/3"	"qe3"	"qan³³"	"qan²²/3"	"qæ̃¹³"	"qɛ¹³/3"	"qaŋ³⁵"
"fruit"	"tɕəi⁵⁵"	"ȶe³⁵"	"tsi³⁵/3"		"tɕi⁵³"	"tsei³³/3"	"tsɛ⁴⁴/3"	"tsen³⁵"	"tsi²²/3"	"pei¹³"	"pei¹³/3"	"tsen³⁵"
"full"	"pa⁵⁵"	"pɑ³⁵(ɕiɑ³¹²u³³)"	"pɑ³⁵/3"	"pa3"	"po⁵⁵"	"peŋ³³/3"	"pi⁴⁴/3"	"pɑŋ⁵⁵"	"paŋ²²/3"	"pə¹³"	"pei¹³/3"	"tə⁰²paŋ⁵⁵"
"ghost"	"ɬɪn⁵³"	"ɬin³⁵ɕiɑ⁴⁴"	"ɬɑ³³/1"		"tɬjan¹³"	"ɬeŋ²⁴/1"	"ɬɛ³³/1"	"ɬjan²⁴"	"ɬa³³/1"	"ɬjin⁴⁴"	"ɬoŋ⁴⁴/1"	"ɬjaŋ³³"
"gold"	"tɕəm³⁵"											
"good"	"vu³⁵"	"vu³⁵"	"vu⁴⁴/5"	"vu5"	"ɣu⁴⁴"	"ɣai⁴⁴/5"	"ɣu²¹/5"	"ʑeu⁴⁴"	"wo³⁵/5"	"ɣu⁴⁴"	"ɣuɤ³³/5"	"ɣu⁴⁴"
"grass"	"ȵaŋ⁵⁵"											
"grave"	"pu⁵⁵liaŋ⁵⁵"											
"green"	"ȵau⁵⁵"											
"grow"	"ljəu³³tɕai³⁵"											
"gums"	"maŋ³³ȵiu⁵⁵"											
"hair, body"	"khɬu⁵³"											
"hair, head"	"khɬu³³həu⁵⁵"											
"happy"	"vu⁵⁵va³³"											
"hat"	"la⁵³khəu³⁵"											
"hay"	"ȵaŋ³³qaŋ³⁵"											
"head"	"həu⁵⁵"											
"hear"	"tɕaŋ³³ȵai⁵⁵"											
"heart"	"tɕei³³ɬɔ³³"	"ŋoi³³"	"ɬju³⁵/3"	"tiu8"	"pam⁴⁴"	"ɬjɒ³³/3"	"ɬjɤu⁴⁴/3"	"ɕin²⁴teu²²"	"ɬjau²²/3"	"pjo¹³"	"pjo¹³/3"	"ɬju³⁵"
"heavy"	"ȵoŋ⁵⁵"	"ȵɔŋ³⁵"	"ȵʑɑŋ³⁵/3"	"ȵioŋ3"	"ȵ̥am⁵³"	"ȵ̥oŋ³³/3"	"ȵoŋ⁴⁴/3"	"njuŋ³³"	"ȵɑŋ²²/3"	"njuŋ¹³"	"ȵoŋ¹³/3"	"n̥joŋ³⁵"
"hen"	"maŋ³³qai⁵³"											
"hide"	"ɣe³⁵"											
"hit"	"tam⁵³"											
"horse"	"ta³³mi⁵³"											
"hot"	"qha⁵³"											
"house"	"tɕai³³"	"tsɑi³⁵"	"tse³⁵/3"		"tɕei⁵³"	"tse³³/3"	"tsɑ⁴⁴/3"	"tsei³³"	"tsei²²/3"	"pei¹³"	"pei¹³/3"	"tsɛ³⁵"
"human, person"	"na⁵⁵"											
"hunt, to"	"moŋ⁵⁵"											
"husband"	"zɔ³³"											
"I"	"va⁵³"											
"insect"	"kin³³dʑu⁵⁵"	"kin³³nɑu³⁵⁴"	"keŋ³³/1"	"kiŋ1"	"kan¹³"	"kɑŋ²⁴/1"	"ke³³/1"	"kan²⁴"	"kan³³/1"	"kæ̃⁴⁴"	"kɛ⁴⁴/1"	"kaŋ³³"
"intestines"	"qe³³vi⁵³"											
"iron"	"ləu³⁵"	"lɐu³³"	"lu⁴⁴/5"		"ɬeu⁴⁴"	"ɬɑu⁴⁴/5"	"lɑu²¹/5"	"leu⁴⁴"	"lo³⁵/5"	"leu³³"	"lɤu³³/5"	"ɬʰə⁴⁴"
"jaw"	"qaŋ⁵³qaŋ³³"											
"kill"	"ta³⁵"											
"knee"	"gəu⁵³tɕu³³"											
"knife"	"ʔdjɔ³⁵"											
"know"	"pu⁵³"											
"laugh"	"tjəu³⁵"											
"leaf"	"nəu⁵⁵"	"nau⁵³tau³⁵"	"nu⁵³/2"		"neu³¹"	"lai²²/2"	"nɑu⁵⁵/2"	"neu²²"	"no⁴²/2"	"qa³³neu⁵⁵teu³³"	"nɤu⁵⁵/2"	"qa³³nə⁵⁵"
"left"	"tɕei⁵³tɕi³³"											
"leg"	"lɔ⁵³"	"lɔ³³"	"pa³³/1"	"pɛ1"	"pe¹³; njo²⁴¹"	"pei²⁴/1"	"pe³³/1"	"qa³³pɛ²⁴"	"pai³³/1"	"qa³³pæ⁴⁴;
tju³³ŋaŋ²¹"	"pɛ⁴⁴/1"	"qa³³pa³³"
"lie down"	"pi³⁵"											
"light"	"sʰei³³"											
"lightning"	"le³³hau⁵⁵"											
"light (not heavy)"	"phai⁵³"											
"lip"	"lu³⁵ȵu⁵⁵"											
"live, to"	"gəu³³"											
"liver"	"ŋui⁵⁵"											
"long"	"tai³³"											
"look, to"	"qha³³"											
"louse, body"	"than⁵⁵"											
"louse, head"	"kin³³həu⁵⁵,
həu⁵⁵than⁵⁵"											
"male"	"tɕi³³kəu³⁵"											
"market"	"xi³⁵"											
"meat"	"ʔi³⁵"											
"midday"	"tjoŋ⁵³na⁵³"											
"millet"	"ȵa³³nəi⁵⁵"											
"money"	"shaŋ⁵⁵"		"seŋ⁵³/2"		"sa³¹; saŋ⁵³"	"saŋ²²/2"	"sei⁵⁵/2"		"san⁴²/2"	"pei³³se⁵⁵"	"sen⁵⁵/2"	"pi⁵⁵sei⁵⁵"
"monkey"	"tɕəu³³lai³³"	"tɑ²¹le²⁴"	"lɑ³³/1"	"ta1lɛ3"	"tjeu¹³la¹³"	"lɑŋ²⁴/1"	"lei³³/1"	"le²⁴"	"le³³/1"	"læ⁴⁴"	"le⁴⁴/1"	"lei³³"
"month"	"ləi³⁵"											
"moon"	"thau³³ləi³⁵"	"lɑ²²lei²⁴"	"li⁴⁴/5"	"ləi5"	"ɬei⁴⁴"	"ɬɑ⁴⁴/5"	"lɑ²¹/5"	"la⁴⁴la⁴⁴"	"li³⁵/5"	"pɔ¹¹la³³"	"la³³/5"	"ɬʰa⁴⁴"
"morning"	"ʔdjoŋ³³ʔdai³⁵"											
"mortar"	"ma³³tɕau³⁵"											
"mosquito"	"kin³³dʑu⁵⁵"											
"mountain"	"ɣin⁵⁵"											
"mouth"	"lau³⁵"											
"mud"	"ʔɔŋ³³"											
"mushroom"	"tɕəi³³"											
"name"	"pai³⁵"	"pɑi³⁵"	"pe⁴⁴/5"		"pai⁴⁴"	"pe⁴⁴/5"	"pɑ²¹/5"	"min²²tsɿ⁴⁴"	"puei³⁵/5"	"njaŋ⁵⁵poi³³"	"pue³³/5"	"zaŋ⁵⁵pi⁴⁴"
"narrow"	"ŋe³³"	"ȵɛ³¹ʔ"	"ŋɑ²¹²/8"	"ŋe8"	"ŋa²⁴"	"ŋɑ³⁵/8"	"ŋei⁵³/8"	"ŋe¹³"	"ŋa²¹²/8"	"ŋe⁵³"	"ŋe⁵³/8"	"ŋi³¹"
"navel"	"təu⁵³tɔ³⁵"											
"near"	"gəi³⁵"	"gei³⁵"	"ɣe⁴⁴/5"	"ɣi5"	"ɣei⁴⁴"	"ɣe⁴⁴/5"	"ɣi²¹/5"	"ʑei⁴⁴"	"ɣei³⁵/5"	"ɣi³³"	"ɣi³³/5"	"ɣi⁴⁴"
"neck"	"qɔŋ³³"											
"needle"	"tɕu⁵³"											
"new"	"qhan⁵³"											
"night"	"maŋ³⁵"											
"nose"	"toŋ⁵⁵ŋui³³"	"ȶɔŋ⁴⁴ŋoi³³"	"nza²²/6"	"qʰaŋ3ȵuə6"	"tjam³¹ȵo²²"	"nzau¹²/6"	"nzu²³/6"	"tjuŋ²⁴njy⁵³"	"ȵai⁵³/6"	"pɔ¹¹mja²²"	"mjɛ⁴²/2"	"po⁵⁵zɛ¹³"
"oil"	"zu³³"	"ju³¹ʔ"	"ȶu⁵³/2"		"ʑu¹³"	"ȶai²²/2"	"ȶəu⁵⁵/2"	"ʑeu²²"	"tɕo⁴²/2"	"ɣɔ⁴⁴"	"ɕuɤ⁵⁵/2"	"ʑu⁵⁵"
"old (cu)"	"qau³⁵"											
"old (gia)"	"lɔ⁵³"											
"open, to"	"pɔ³⁵"											
"oven"	"tɕa³³tɔ⁵³"											
"pig"	"pai³⁵"											
"plant, to"	"tɕi⁵³"											
"plate"	"la³³ɬi⁵⁵"											
"plow"	"li³³"											
"poor"	"sa³⁵"											
"potato"	"vɔ³³"											
"pound"	"tam⁵³"											
"rain"	"ta⁵⁵nɔŋ³³"											
"rainbow"	"ta³³goŋ⁵⁵"											
"rat"	"naŋ⁵³"											
"red"	"tɕhin³⁵"											
"rice, cooked"	"ȵa⁵³"											
"rice, grain"	"sa³³"											
"rice, plant"	"nai⁵⁵"											
"rich"	"ɬa³³"											
"right"	"tjɔ³³"											
"right side"	"tɕei⁵³ɣəu³³"											
"ripe"	"pai⁵³ɕin³³"											
"road"	"qəi⁵⁵"											
"roof"	"toŋ³⁵tɕai³³"											
"rooster"	"pi⁵⁵qai³³lɔ⁵³"											
"root"	"tcoŋ⁵⁵"											
"rope"	"moŋ¹¹"	"ɬɑ³⁵"	"la⁴⁴/5"		"tɬo⁴⁴"	"ɬo³⁵/5"	"le²¹/5"	"lɛ⁴⁴"	"ɬai⁴⁴/5"	"læ³³"	"lɛ³³/5"	"ɬʰa⁴⁴"
"rotten"	"lui⁵⁵"											
"sad"	"tɕan³⁵"											
"salt"	"tɕei³³qa⁵³"											
"salty"	"han³⁵"											
"sand"	"ɣei³³sʰai³⁵, qai³⁵"											
"second (#2)"	"tɕu³³ɔ⁵³"											
"see"	"pu³³"											
"sell"	"ma⁵³"											
"sew"	"mai³⁵"											
"sharp"	"ɣa³³"											
"sheep"	"ta⁵³le³³"											
"shirt"	"ɔ³³tai³³"											
"show"	"hai⁵³"											
"shoot"	"mu⁵³paŋ³³"											
"short"	"la³³"	"lɑ³⁵"	"lɑ³⁵/3"	"la3"	"lo⁵³"	"leŋ³³/2"	"lɛ⁴⁴/3"	"lei³³"	"la²²/3"	"lei¹³"	"lei¹³/3"	"lɛ³⁵"
"shoulder"	"ku³³tɕəi⁵³"											
"shrimp"	"kin³³qhɔŋ⁵³"											
"sick"	"tɕin⁵⁵tɕəŋ³³"											
"silver"	"saŋ⁵⁵khɬɔ³³"											
"sit"	"ȵaŋ³³tai⁵³"											
"skin"	"lu³⁵"											
"skirt"	"tau⁵³thəu³³"											
"sky"	"va⁵⁵"											
"sleep"	"pi³⁵"											
"small"	"la³³zu³⁵"											
"smoke"	"nou³³ȵu³⁵"											
"snake"	"naŋ⁵³"											
"sniff, smell"	"maŋ³⁵"											
"snow"	"khai³³u¹¹pa³⁵"											
"son"	"ta⁵³tɕin³³"											
"sour"	"sʰu⁵³"	"ɕu³³"	"ɕu³³/1"		"ɕu¹³"	"ɕu³³/1"	"ɕu³³/1"	"ɕeu²⁴"	"ɕo³³/1"	"ɕʰu⁴⁴"	"ɕʰuɤ⁴⁴/1"	"ɕʰu³³"
"spider"	"kin³³qe³³"											
"stand up"	"shɔ³³va⁵⁵"											
"star"	"ta⁵⁵qa³³"	"tɑ³³qɑ³³"	"qɑ³³/1"	"ta1qa1"	"to³¹qo¹³"	"qeŋ²⁴/1"	"qɛ³³/1"	"qei²⁴qei²⁴"	"qa³³/1"	"tei⁴⁴qei⁴⁴"	"qei⁴⁴/5"	"tɛ³³qɛ³³"
"steal"	"a⁵⁵ȵin³³"											
"stone"	"gəi⁵³"	"ge³³"	"ɣe³³/5"	"ɣi1"	"ɣei¹³"	"ɣe²⁴/1"	"ɣi³³/1"	"ʑei²⁴"	"ɣei³³/1"	"pɔ¹³ɣi⁴⁴"	"ɣi²⁴/1"	"ɣi³³"
"storm"	"khɔ³³tɕi³⁵"											
"strong"	"aŋ³³qəu²²"											
"stupid"	"va³³"											
"suck"	"u³⁵"											
"sugarcane"	"təu³⁵taŋ³³"											
"summer (wet season)"	"mua³³qha³³"											
"sun"	"thau³³na³³"	"lɑ³³nɑ³³"	"na³³/1"	"la1na1"	"n̥o¹³"	"n̥oŋ²⁴/1"	"nɛ³³/1"	"qʰaŋ³³nei²⁴"	"neŋ³³/1"	"pɔ¹¹nei⁴⁴"	"nei⁴⁴/1"	"n̥ɛ³³"
"sweet"	"qan⁵³"											
"table"	"la³³baŋ⁵³"											
"tail"	"tui⁵⁵"	"tõi³⁵⁴"	"ta³⁵/3"		"tɔ⁵³"	"tau³³/3"	"tɑ⁴⁴/3"	"qa³³tue³³"	"tai²²/3"	"qa³³tua¹³"	"tuɛ¹³/3"	"qa³³tɛ³⁵"
"tall"	"qhaŋ⁵³"											
"termite"	"kin³³qui³⁵"											
"that"	"ka³³mɔ⁵³"											
"they"	"tja⁵³"											
"thick"	"tai⁵³"		"ta³³/1"	"tɛ1"	"tɛ¹³"	"tei²⁴/1"	"te³³/1"	"tɛ²⁴"	"tai³³/1"	"tæ⁴⁴"	"tɛ⁴⁴/1"	"ta³³"
"thin"	"ȵiŋ⁵³"		"ȵʑeŋ²¹/4"	"ȵiŋ4"	"ȵan²⁴¹"	"ȵɑŋ²¹/4"	"ȵe²²/4"	"njan²¹²"	"ȵan²¹/4"	"nje²¹"	"ȵe²⁴/4"	"njaŋ¹¹"
"this"	"nəŋ⁵⁵"	"nɔ⁵³"	"nɑ³⁵/3"		"na⁵³"	"nɑu³³/3"	"nɑŋ⁴⁴/3"	"neŋ³³"	"neŋ²²/2"	"naŋ¹³"	"naŋ¹³/3"	"noŋ³⁵"
"thunder"	"pəu³⁵hau³³"	"u³³tɑi²⁴"	"ho³³/1"	"hau1"	"pu⁴⁴fu¹³"	"pʰo³⁴/1"	"fu³³/1"	"hou²⁴"	"hɑu³³/1"	"heɯ⁴⁴"	"hɤu⁴⁴/1"	"ho³³"
"tick"	"lui³³"											
"tongue"	"ne¹¹"											
"tooth"	"maŋ³³"	"mɑŋ̃ ⁴⁵³"	"mɑŋ³⁵/3"	"tsəi3ma6"	"kwe⁴⁴"	"m̥ ei³³/3"	"mei⁴⁴/3"	"mi³³"	"me²²/3"	"me¹³"	"me¹³/3"	"m̥ i³⁵"
"tree"	"təu³⁵"											
"trousers"	"tau⁵³"											
"turtle"	"ta⁵³tau³³"											
"unripe"	"pai⁵³ɕin³³?"											
"vegetable"	"ɣɔ³¹"											
"village name (Khuan He)"	"khwəŋ³³hɛ⁵⁵"											
"wall"	"soŋ⁵⁵tja⁵⁵"											
"warm"	"sʰou³³"											
"water"	"u⁵³"											
"we (excl.)"	"pa³³va⁵³ni³⁵"											
"we (incl.)"	"mi³³pai⁵³"	"mi³³pɑi³³"	"pe³³/1"		"pai¹³"	"pe²⁴/1"	"pi³³/1"	"pɛ²⁴"	"pei³³/1"	"poi⁴⁴seɯ³³"	"pue⁴⁴/1"	"pi³³"
"weak"	"ma³³ʔaŋ²²"											
"wet"	"sʰou¹¹"											
"what"	"ȵu⁵³"											
"wheat"	"nai³³"											
"when"	"sai⁵⁵te³³"											
"where"	"qa³³te⁵⁵"											
"which"	"nɔ⁵³"											
"white"	"ɬɔ⁵³"	"ɬjɔ³¹"	"ɬɒ³³/1"		"tɬa¹³"	"ɬou²⁴/1"	"ɬɤu³³/1"	"so²⁴"	"ɬau³³/1"	"ɬo⁴⁴"	"ɬo⁴⁴/1"	"ɬu³³"
"who"	"qu³³tɕai⁵⁵"											
"wide"	"quŋ³³"	"kuɑn³⁵"	"feŋ³⁵/3"	"fəŋ3,
qʰoŋ5loŋ6"	"kwen⁵³"	"fɑŋ³³/1"	"fɑ⁴⁴/3"	"fan³³"	"fan²²/3"	"kuæ̃¹³"	"kwɛ¹³/3"	"faŋ³⁵"
"wife"	"vai³³"											
"wind"	"qhɔ³³tɕi³⁵"											
"window"	"tin⁵³tan³³"											
"wing"	"təi³⁵"											
"winter (dry season)"	"mua³³sʰaŋ⁵³"											
"woman"	"tɕi³³vɔ³⁵"											
"wood"	"paŋ³³"											
"work"	"a³³qəu³¹"											
"worm"	"kin³³tɕɔŋ³¹"											
"yam"	"na³³taŋ¹¹"											
"yawn"	"pai³³lau³⁵"											
"year"	"ȵu³⁵"											
"yellow"	"quŋ⁵⁵"	"kuɑn⁵³"	"feŋ⁵³/2"		"kwen³¹"	"fɑŋ²²/2"	"fɑ⁵⁵/2"	"fan²²"	"fau⁴²/2"	"kuæ̃⁵⁵"	"kwɛ⁵⁵/2"	"faŋ⁵⁵"
"young"	"ni⁵³"											
"you (plural)"	"tɕi³³təi⁵⁵"											
