"Gloss"	"Na Meo (Tuyen Quang)"	"Na Meo (Cao Bang)"	"Zhenmin"	"Guncen"	"Yaogao"	"Datu"	"Yangpai"	"Caidiwan"	"Xiang’ao"	"Heba"	"Baixing"	"Yanghao"
"one"	"tɕu⁵⁵"											
"two"	"ɔ⁵³"											
"three"	"pai⁵³"	"pɑi³³"	"pe³³/1"	"pan1"	"pai¹³"	"pe²⁴/1"	"pɑ³³/1"	"pɛ²⁴"	"pei³³/1"	"poi⁴⁴"	"pue⁴⁴/1"	"pi³³"
"four"	"tɬɔ⁵³"	"ɬɔ³³"	"ɬɒ³³/1"	"ɬau1"	"tɬɔ¹³"	"ɬɑ²⁴/1"	"ɬo³³/1"	"so²⁴"	"ɬau³³/1"	"ɬɔ⁴⁴"	"ɬɔ⁴⁴/1"	"ɬo³³"
"five"	"tɕei⁵³"	"tsei³³"	"tsi³³/1"	"tsəi1, tɕiu6"	"tɕi¹³"	"tsɑ²⁴/1"	"tsɑ³³/1"	"tsa²⁴"	"tsi³³/1"	"pja⁴⁴"	"pja⁴⁴/1"	"tsa³³"
"six"	"tɯ³⁵"											
"seven"	"tsʰauŋ³³, sʰɔŋ³³"	"ɕɔŋ¹¹"	"ɕɦoŋ²²/6"	"ɕioŋ6"	"tsam²²"	"sɦoŋ¹²/6"	"ɕɦoŋ²³/6"	"ɕuŋ⁵³"	"ɕoŋ⁵³/6"	"ɕuŋ²²"	"ɕoŋ⁴²/6"	"ɕoŋ¹³"
"eight"	"zi³³"											
"nine"	"tɕau⁵⁵"											
"ten"	"tɕu³³"	"tɕu³¹ʔ"	"tɕu²¹²/8"	"tɕiu8"	"tɕu²⁴"	"tɕu³⁵/8"	"tɕu⁵³/8"	"tɕeu¹³"	"tɕu¹²/8"	"tɕu⁵³"	"tɕo⁵³/8"	"tɕu³¹"
"above"	"ke³³pai⁵³"											
"afternoon"	"tioŋ⁵³tɕai³³"											
"you (sg.)"	"təi³³"											
"he"	"va⁵³təi³³"											
"ant"	"kin³³phi⁵⁵"											
"ash"	"paʔ⁵³"											
"autonym"	"[na⁵⁵]mjau³⁵ɬa⁵³"											
"back"	"kuə³³tu⁵³"											
"bamboo"	"təu³⁵tan³³"											
"banana"	"tɕei⁵⁵tɕɔ⁵³"											
"basket"	"la³³luɔŋ⁵³"											
"bat"	"ta³³kɔ¹¹"											
"bean"	"taɯ³³"	"tɔʔ³¹"	"to²¹²/8"	"tou8"	"neu³⁵"	"tɑu³⁵/8"	"tu⁵³/8"	"teu¹³"	"tɑu¹²/8"	"pua¹³teu⁵³"	"tɤu⁵³/8"	"tə³¹"
"bear"	"ta³³ɬɛ³⁵"											
"bed"	"la³³zɯəŋ⁵³"											
"bee"	"kin³³tɕa³³"											
"belly"	"təu⁵³"											
"below"	"kue³⁵tai⁵³"											
"big"	"ljəu³²"											
"bird"	"nəu³³"	"no³¹, nau³¹"	"nu²²/6"	"nou6"	"neu²²"	"nai¹²/6"	"nɑu²³/6"	"neu⁵³"	"no⁵³/6"	"neu²²"	"nɤu⁴²/6"	"nə¹³"
"bite"	"kui³⁵"											
"bitter"	"aŋ³³"											
"black"	"ɬa⁵³"	"ɬjɑ³¹"	"ɬɑ³³/1"		"qɛ³⁵"	"ɬeŋ²⁴/1"	"ɬɛ³³/1"	"sei²⁴"	"ɬa³³/1"	"ɬuŋ²²"	"ɬoŋ⁴⁴/1"	"ɬɛ³³"
"Black Hmong [autonym]"	"na⁵⁵mjau³⁵ɬa⁵³"											
"blind"	"ɬauŋ³³"											
"blood"	"sʰiŋ³³"	"ɕin³⁵"	"ɕeŋ³⁵/3"	"ɕiŋ3"	"sam⁵³"	"sʰɑŋ³³/3"	"ɕe⁴⁴/3"	"ɕan³³"	"ɕan²²/3"	"ɕʰe¹³"	"ɕʰɛ¹³/3"	"ɕʰaŋ³⁵"
"blunt"	"ləɯ⁵⁵"											
"boat"	"la³³pai¹¹"											
"bone"	"sʰoŋ³³"	"tsəi³¹, soŋ³⁵"	"soŋ³⁵/3"	"soŋ3"	"sam⁵³"	"soŋ³³/3"	"soŋ⁴⁴/3"	"suŋ³³"	"soŋ²²/3"	"sʰuŋ¹³"	"sʰoŋ¹³/3"	"po³⁵sʰoŋ³⁵"
"bowl"	"la³³sa¹¹"											
"brain"	"lui³³"											
"breast"	"qaŋ⁵³"											
"breathe"	"təu³³pɔŋ³⁵"											
"buffalo, water"	"tai³³ȵi⁵⁵"											
"burn"	"tɕi³³"											
"bury"	"pau³³"											
"butterfly"	"kin³³ku⁵⁵lu³³"											
"buy"	"mi³³"											
"cat"	"ta³³mjau³⁵"											
"cattle; cow"	"ljɔ³³"											
"cave"	"khaŋ³³"											
"centipede"	"kin³³khu³⁵"											
"chair"	"la³³puŋ¹¹"											
"charcoal"	"ŋe³³tɔ⁵³"											
"cheek"	"maŋ⁵³ma³³"											
"chew"	"tɕa³⁵"											
"chicken"	"qai⁵³"	"tɑ²¹qɛ³³"	"qa³³/1"	"qɛ1"	"qa¹³"	"qɑ²⁴/1"	"qei³³/1"	"qa²⁴"	"qe³³/1"	"qæ⁴⁴"	"qe⁴⁴/1"	"qei³³"
"child"	"ta³²"											
"chili pepper"	"xɔŋ¹¹"											
"chopstick"	"djɔ³³"											
"citrus fruit"	"nu³²tɕei⁵⁵kam⁵⁵"											
"clean"	"tɕu³³"											
"close, to"	"sʰɔ³⁵"											
"cloud"	"təu³³ʔu³⁵"											
"coin"	"laŋ⁵³sʰaŋ⁵⁵"											
"cold (adj.)"	"saŋ⁵³"											
"copper"	"taɯ⁵⁵"		"tu⁵³/2"			"tai²²/2"	"tɑu⁵⁵/2"		"to⁴²/2"		"toŋ⁵⁵/2"	
"corn"	"ȵa³³tjəu⁵³"											
"cough, to"	"khai³³khɔ³⁵"											
"cover, to"	"taɯ³⁵"											
"crossbow"	"nei³³tai³⁵"											
