Gloss	Na Meo (Tuyen Quang)
one	tɕu⁵⁵
two	ɔ⁵³
three	pai⁵³
four	tɬɔ⁵³
five	tɕei⁵³
six	tɯ³⁵
seven	tsʰauŋ³³, sʰɔŋ³³
eight	zi³³
nine	tɕau⁵⁵
ten	tɕu³³
above	ke³³pai⁵³
afternoon	tioŋ⁵³tɕai³³
you (sg.)	təi³³
he	va⁵³təi³³
ant	kin³³phi⁵⁵
ash	paʔ⁵³
autonym	[na⁵⁵]mjau³⁵ɬa⁵³
back	kuə³³tu⁵³
bamboo	təu³⁵tan³³
banana	tɕei⁵⁵tɕɔ⁵³
basket	la³³luɔŋ⁵³
bat	ta³³kɔ¹¹
bean	taɯ³³
bear	ta³³ɬɛ³⁵
bed	la³³zɯəŋ⁵³
bee	kin³³tɕa³³
belly	təu⁵³
below	kue³⁵tai⁵³
big	ljəu³²
bird	nəu³³
bite	kui³⁵
bitter	aŋ³³
black	ɬa⁵³
"Black Hmong
[autonym]"	na⁵⁵mjau³⁵ɬa⁵³
blind	ɬauŋ³³
blood	sʰiŋ³³
blunt	ləɯ⁵⁵
boat	la³³pai¹¹
bone	sʰoŋ³³
bowl	la³³sa¹¹
brain	lui³³
breast	qaŋ⁵³
breathe	təu³³pɔŋ³⁵
buffalo, water	tai³³ȵi⁵⁵
burn	tɕi³³
bury	pau³³
butterfly	kin³³ku⁵⁵lu³³
buy	mi³³
cat	ta³³mjau³⁵
cattle; cow	ljɔ³³
cave	khaŋ³³
centipede	kin³³khu³⁵
chair	la³³puŋ¹¹
charcoal	ŋe³³tɔ⁵³
cheek	maŋ⁵³ma³³
chew	tɕa³⁵
chicken	qai⁵³
child	ta³²
chili pepper	xɔŋ¹¹
chopstick	djɔ³³
citrus fruit	nu³²tɕei⁵⁵kam⁵⁵
clean	tɕu³³
close, to	sʰɔ³⁵
cloud	təu³³ʔu³⁵
coin	laŋ⁵³sʰaŋ⁵⁵
cold (adj.)	saŋ⁵³
copper	taɯ⁵⁵
corn	ȵa³³tjəu⁵³
cough, to	khai³³khɔ³⁵
cover, to	taɯ³⁵
crossbow	nei³³tai³⁵
crow (bird)	ta⁵³ɬaŋ³³
cry, to	qi⁵⁵
cut, to	qai³⁵
dark	ɬa³³khai⁵⁵
daughter	ta⁵³phai³⁵
day	na⁵³
deaf	ɬoŋ⁵⁵
deer	ta³³sau⁵³
dew	taɯ³³ʔu³⁵
die	ta³³
dig	qɔŋ³⁵
dirty	u³³tɕhui⁵³
dog	ɬai³³
door	pu³³tu⁵⁵
dove	nəu³³kau⁵⁵
dream	ɬin³³pu³⁵
drink water	həu³³ʔu⁵³
dry	qaŋ³⁵
duck	ta³³ʔau³⁵
dust	phuŋ³⁵
ear	qhaŋ³³ȵai⁵⁵
eat	nəu⁵⁵
eat rice	nəu⁵⁵ȵa¹¹
egg	qei³⁵
elbow	ɣəu⁵³pai⁵³
embers	[ŋɛ¹¹]tɔ⁵³tɕhin³⁵
evening	tjoŋ³³maŋ³⁵
eye	tɕei⁵⁵ma³³
face	tɕei⁵⁵ma¹¹
fall	pa⁵⁵
family	tɕõ³³tɕai⁵⁵
far	qui⁵⁵
fat	maŋ⁵³
fear	qhai⁵³
field	tɕaŋ³³ljaŋ⁵⁵
fire	tɔ⁵³
firewood	tɔ⁵³
fish	ȵai⁵³
floor	ku³³tɪn⁵³
flower	paŋ⁵⁵
fly (insect)	kin³³lai³⁵
fog	taɯ³³ʔu³⁵
forest	giŋ⁵⁵ku³³
fox	ta³³ɬaŋ³⁵
fragrant	ta⁵³moŋ³³
frog	qaŋ⁵⁵
fruit	tɕəi⁵⁵
full	pa⁵⁵
ghost	ɬɪn⁵³
gold	tɕəm³⁵
good	vu³⁵
grass	ȵaŋ⁵⁵
grave	pu⁵⁵liaŋ⁵⁵
green	ȵau⁵⁵
grow	ljəu³³tɕai³⁵
gums	maŋ³³ȵiu⁵⁵
hair, body	khɬu⁵³
hair, head	khɬu³³həu⁵⁵
happy	vu⁵⁵va³³
hat	la⁵³khəu³⁵
hay	ȵaŋ³³qaŋ³⁵
head	həu⁵⁵
hear	tɕaŋ³³ȵai⁵⁵
heart	tɕei³³ɬɔ³³
heavy	ȵoŋ⁵⁵
hen	maŋ³³qai⁵³
hide	ɣe³⁵
hit	tam⁵³
horse	ta³³mi⁵³
hot	qha⁵³
house	tɕai³³
human, person	na⁵⁵
hunt, to	moŋ⁵⁵
husband	zɔ³³
I	va⁵³
insect	kin³³dʑu⁵⁵
intestines	qe³³vi⁵³
iron	ləu³⁵
jaw	qaŋ⁵³qaŋ³³
kill	ta³⁵
knee	gəu⁵³tɕu³³
knife	ʔdjɔ³⁵
know	pu⁵³
laugh	tjəu³⁵
leaf	nəu⁵⁵
left	tɕei⁵³tɕi³³
leg	lɔ⁵³
lie down	pi³⁵
light	sʰei³³
lightning	le³³hau⁵⁵
light (not heavy)	phai⁵³
lip	lu³⁵ȵu⁵⁵
live, to	gəu³³
liver	ŋui⁵⁵
long	tai³³
look, to	qha³³
louse, body	than⁵⁵
louse, head	"kin³³həu⁵⁵,
həu⁵⁵than⁵⁵"
male	tɕi³³kəu³⁵
market	xi³⁵
meat	ʔi³⁵
midday	tjoŋ⁵³na⁵³
millet	ȵa³³nəi⁵⁵
money	shaŋ⁵⁵
monkey	tɕəu³³lai³³
month	ləi³⁵
moon	thau³³ləi³⁵
morning	ʔdjoŋ³³ʔdai³⁵
mortar	ma³³tɕau³⁵
mosquito	kin³³dʑu⁵⁵
mountain	ɣin⁵⁵
mouth	lau³⁵
mud	ʔɔŋ³³
mushroom	tɕəi³³
name	pai³⁵
narrow	ŋe³³
navel	təu⁵³tɔ³⁵
near	gəi³⁵
neck	qɔŋ³³
needle	tɕu⁵³
new	qhan⁵³
night	maŋ³⁵
nose	toŋ⁵⁵ŋui³³
oil	zu³³
