Gloss	Na Meo (Tuyen Quang)
old (cu)	qau³⁵
old (gia)	lɔ⁵³
open, to	pɔ³⁵
oven	tɕa³³tɔ⁵³
pig	pai³⁵
plant, to	tɕi⁵³
plate	la³³ɬi⁵⁵
plow	li³³
poor	sa³⁵
potato	vɔ³³
pound	tam⁵³
rain	ta⁵⁵nɔŋ³³
rainbow	ta³³goŋ⁵⁵
rat	naŋ⁵³
red	tɕhin³⁵
rice, cooked	ȵa⁵³
rice, grain	sa³³
rice, plant	nai⁵⁵
rich	ɬa³³
right	tjɔ³³
right side	tɕei⁵³ɣəu³³
ripe	pai⁵³ɕin³³
road	qəi⁵⁵
roof	toŋ³⁵tɕai³³
rooster	pi⁵⁵qai³³lɔ⁵³
root	tcoŋ⁵⁵
rope	moŋ¹¹
rotten	lui⁵⁵
sad	tɕan³⁵
salt	tɕei³³qa⁵³
salty	han³⁵
sand	ɣei³³sʰai³⁵, qai³⁵
second (#2)	tɕu³³ɔ⁵³
see	pu³³
sell	ma⁵³
sew	mai³⁵
sharp	ɣa³³
sheep	ta⁵³le³³
shirt	ɔ³³tai³³
show	hai⁵³
shoot	mu⁵³paŋ³³
short	la³³
shoulder	ku³³tɕəi⁵³
shrimp	kin³³qhɔŋ⁵³
sick	tɕin⁵⁵tɕəŋ³³
silver	saŋ⁵⁵khɬɔ³³
sit	ȵaŋ³³tai⁵³
skin	lu³⁵
skirt	tau⁵³thəu³³
sky	va⁵⁵
sleep	pi³⁵
small	la³³zu³⁵
smoke	nou³³ȵu³⁵
snake	naŋ⁵³
sniff, smell	maŋ³⁵
snow	khai³³u¹¹pa³⁵
son	ta⁵³tɕin³³
sour	sʰu⁵³
spider	kin³³qe³³
stand up	shɔ³³va⁵⁵
star	ta⁵⁵qa³³
steal	a⁵⁵ȵin³³
stone	gəi⁵³
storm	khɔ³³tɕi³⁵
strong	aŋ³³qəu²²
stupid	va³³
suck	u³⁵
sugarcane	təu³⁵taŋ³³
summer (wet season)	mua³³qha³³
sun	thau³³na³³
sweet	qan⁵³
table	la³³baŋ⁵³
tail	tui⁵⁵
tall	qhaŋ⁵³
termite	kin³³qui³⁵
that	ka³³mɔ⁵³
they	tja⁵³
thick	tai⁵³
thin	ȵiŋ⁵³
this	nəŋ⁵⁵
thunder	pəu³⁵hau³³
tick	lui³³
tongue	ne¹¹
tooth	maŋ³³
tree	təu³⁵
trousers	tau⁵³
turtle	ta⁵³tau³³
unripe	pai⁵³ɕin³³?
vegetable	ɣɔ³¹
"village name (Khuan
He)"	khwəŋ³³hɛ⁵⁵
wall	soŋ⁵⁵tja⁵⁵
warm	sʰou³³
water	u⁵³
we (excl.)	pa³³va⁵³ni³⁵
we (incl.)	mi³³pai⁵³
weak	ma³³ʔaŋ²²
wet	sʰou¹¹
what	ȵu⁵³
wheat	nai³³
when	sai⁵⁵te³³
where	qa³³te⁵⁵
which	nɔ⁵³
white	ɬɔ⁵³
who	qu³³tɕai⁵⁵
wide	quŋ³³
wife	vai³³
wind	qhɔ³³tɕi³⁵
window	tin⁵³tan³³
wing	təi³⁵
winter (dry season)	mua³³sʰaŋ⁵³
woman	tɕi³³vɔ³⁵
wood	paŋ³³
work	a³³qəu³¹
worm	kin³³tɕɔŋ³¹
yam	na³³taŋ¹¹
yawn	pai³³lau³⁵
year	ȵu³⁵
yellow	quŋ⁵⁵
young	ni⁵³
you (plural)	tɕi³³təi⁵⁵
