ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
NaMeoTuyenQuang-85_door-1,,NaMeoTuyenQuang,85_door,pu³³tu⁵⁵,pu³³tu⁵⁵,p u ³³ + t u ⁵⁵,,Hsiu2015,,
NaMeoTuyenQuang-86_dove-1,,NaMeoTuyenQuang,86_dove,nəu³³kau⁵⁵,nəu³³kau⁵⁵,n əu ³³ + k a u ⁵⁵,,Hsiu2015,,
NaMeoTuyenQuang-87_dream-1,,NaMeoTuyenQuang,87_dream,ɬin³³pu³⁵,ɬin³³pu³⁵,ɬ i n ³³ + p u ³⁵,,Hsiu2015,,
NaMeoTuyenQuang-88_drinkwater-1,,NaMeoTuyenQuang,88_drinkwater,həu³³ʔu⁵³,həu³³ʔu⁵³,h əu ³³ + ʔ u ⁵³,,Hsiu2015,,
NaMeoTuyenQuang-89_dry-1,,NaMeoTuyenQuang,89_dry,qaŋ³⁵,qaŋ³⁵,q a ŋ ³⁵,,Hsiu2015,,
NaMeoTuyenQuang-90_duck-1,,NaMeoTuyenQuang,90_duck,ta³³ʔau³⁵,ta³³ʔau³⁵,t a ³³ + ʔ a u ³⁵,,Hsiu2015,,
NaMeoTuyenQuang-91_dust-1,,NaMeoTuyenQuang,91_dust,phuŋ³⁵,phuŋ³⁵,pʰ u ŋ ³⁵,,Hsiu2015,,
Zhenmin-92_ear-1,,Zhenmin,92_ear,nze⁵³/2,nze⁵³,n z e ⁵³,,Chen2013,,
NorthernQiandong-92_ear-1,,NorthernQiandong,92_ear,qa³³zɛ⁵⁵,qa³³zɛ⁵⁵,q a ³³ + z ɛ ⁵⁵,,Chen2013,,
WesternQiandong-92_ear-1,,WesternQiandong,92_ear,pei¹³me⁵⁵,pei¹³me⁵⁵,p e i ¹³ m e ⁵⁵,,Chen2013,,
Baixing-92_ear-1,,Baixing,92_ear,mei⁵⁵/2,mei⁵⁵,m e i ⁵⁵,,Li2000,,
SouthernQiandong-92_ear-1,,SouthernQiandong,92_ear,ȵei³¹,ȵei³¹,ȵ e i ³¹,,Chen2013,,
Datu-92_ear-1,,Datu,92_ear,nze²²/2,nze²²,n z e ²²,,Li2000,,
Xiangao-92_ear-1,,Xiangao,92_ear,ȵe⁴²/2,ȵe⁴²,ȵ e ⁴²,,Li2000,,
NaMeoCaoBang-92_ear-1,,NaMeoCaoBang,92_ear,ŋɑi³⁵,ŋɑi³⁵,ŋ ɑi ³⁵,,Edmondson2001,,
Yangpai-92_ear-1,,Yangpai,92_ear,nzɑ⁵⁵/2,nzɑ⁵⁵,n z ɑ ⁵⁵,,Li2000,,
Guncen-92_ear-1,,Guncen,92_ear,qʰaŋ3ȵai2,qʰaŋ3ȵai2,qʰ a ŋ ³ + ȵ ai ²,,Committee2008,,
EasternQiandong-92_ear-1,,EasternQiandong,92_ear,qa³³njei²²,qa³³njei²²,q a ³³ + n j e i ²²,,Chen2013,,
NaMeoTuyenQuang-92_ear-1,,NaMeoTuyenQuang,92_ear,qhaŋ³³ȵai⁵⁵,qhaŋ³³ȵai⁵⁵,qʰ a ŋ ³³ + ȵ ai ⁵⁵,,Hsiu2015,,
NaMeoTuyenQuang-93_eat-1,,NaMeoTuyenQuang,93_eat,nəu⁵⁵,nəu⁵⁵,n əu ⁵⁵,,Hsiu2015,,
NaMeoTuyenQuang-94_eatrice-1,,NaMeoTuyenQuang,94_eatrice,nəu⁵⁵ȵa¹¹,nəu⁵⁵ȵa¹¹,n əu ⁵⁵ + ȵ a ¹¹,,Hsiu2015,,
Zhenmin-95_egg-1,,Zhenmin,95_egg,ke⁴⁴/5,ke⁴⁴,k e ⁴⁴,,Chen2013,,
NorthernQiandong-95_egg-1,,NorthernQiandong,95_egg,ki⁴⁴,ki⁴⁴,k i ⁴⁴,,Chen2013,,
WesternQiandong-95_egg-1,,WesternQiandong,95_egg,ki³³,ki³³,k i ³³,,Chen2013,,
Baixing-95_egg-1,,Baixing,95_egg,ki³³/5,ki³³,k i ³³,,Li2000,,
SouthernQiandong-95_egg-1,,SouthernQiandong,95_egg,kei⁴⁴,kei⁴⁴,k e i ⁴⁴,,Chen2013,,
Datu-95_egg-1,,Datu,95_egg,ke⁴⁴/5,ke⁴⁴,k e ⁴⁴,,Li2000,,
Xiangao-95_egg-1,,Xiangao,95_egg,kei³⁵/5,kei³⁵,k e i ³⁵,,Li2000,,
NaMeoCaoBang-95_egg-1,,NaMeoCaoBang,95_egg,lɑ³³qe³³,lɑ³³qe³³,l ɑ ³³ + q e ³³,,Edmondson2001,,
Yangpai-95_egg-1,,Yangpai,95_egg,ki²¹/5,ki²¹,k i ²¹,,Li2000,,
EasternQiandong-95_egg-1,,EasternQiandong,95_egg,kei⁴⁴,kei⁴⁴,k e i ⁴⁴,,Chen2013,,
NaMeoTuyenQuang-95_egg-1,,NaMeoTuyenQuang,95_egg,qei³⁵,qei³⁵,q e i ³⁵,,Hsiu2015,,
